Iteration                Wall_Time                Samples                  Train_Return             Train_Paths              Test_Return              Test_Paths               Critic_Loss              Critic_Steps             Actor_Loss               Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
0                        0.0006383901172214084    2096                     -164.29050165744792      22                       -686.0646659474355       32                       0.016761641197016675     203                      2.154623440199284        1013                     -18.01525                23.469791                0.047390927              2.2931552                422.14572                
50                       0.10119231853220198      111057                   -81.04948701066729       960                      -64.4384859292043        32                       0.007593667670472028     10775                    1.754037117418068        53772                    1.1501188                12.476819                4.4354183e-06            10.115184                103053.26                
100                      0.32901767485671574      241723                   28.15083917424978        218                      103.91078968015849       32                       0.0018953827460878132    23531                    1.6287492667448806       117486                   -0.073915616             5.7399883                6.962483e-08             7.1073055                133835.55                
150                      0.5672561066680485       382925                   106.7475682756711        151                      147.80238428164355       32                       0.0007371222504983583    37313                    1.3108225955898039       186372                   0.040818617              3.682128                 2.8996682e-11            246.19913                8670923.0                
200                      0.7991460176971223       525107                   131.40412193123808       151                      167.2579028538826        32                       0.0005719453198104182    51191                    1.0717036016158277       255736                   0.041998733              3.210423                 9.855598e-16             1865336300.0             65832596000000.0         
250                      1.0229666423797608       664221                   136.25383432622314       153                      170.3279716539693        32                       0.0006944033674206502    64770                    1.101364446044706        323602                   -0.081063904             3.62033                  1.6962412e-13            222731760.0              9072763000000.0          
300                      1.23901919901371         801169                   139.827795099116         150                      170.017684079143         32                       0.000641360527501916     78140                    1.0315017555972354       390412                   -0.046998184             3.49649                  2.3609252e-17            4513155.5                176611920000.0           
350                      1.4407732680108811       930996                   135.84103856570317       151                      160.71194341408065       32                       0.0009675922743771054    90817                    1.061316692840099        453746                   -0.22056597              4.326544                 5.283882e-12             67102.63                 1279572000.0             
400                      1.645258745484882        1064015                  146.86690796817368       153                      182.00549798683778       32                       0.0008588330199321111    103803                   1.0172645798494984       518636                   -0.3414668               4.0704584                3.0207642e-13            43935.97                 1541281400.0             
450                      1.8570470841725668       1201043                  154.7586040153756        155                      188.00445001942987       32                       0.0008958152943503735    117178                   0.9655673394837884       585484                   -0.07702324              4.2255845                4.932205e-13             132032.3                 3798220000.0             
500                      2.055169676873419        1330818                  155.46803971184443       158                      186.7289382104089        32                       0.0009291351044951039    129850                   0.9608040975629266       648790                   0.45787486               4.2835164                3.678418e-11             126244.35                4500881400.0             
550                      2.260747384097841        1462708                  162.3600631172336        166                      196.5905772691701        32                       0.0011148019455398716    142729                   0.9277477069112628       713125                   0.16303806               4.5768323                2.093455e-14             18961.352                579327040.0              
