Iteration                Wall_Time                Samples                  Train_Return             Train_Paths              Test_Return              Test_Paths               Critic_Loss              Critic_Steps             Actor_Loss               Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
0                        0.00023634036382039387   2072                     -166.07249204546972      24                       -579.6193166519494       32                       0.012409100532531738     200                      2.11093896484375         1000                     -25.922459               20.093653                0.05765075               1.5411708                34.218384                
10                       0.008609549601872763     23091                    -140.09999450261589      217                      -176.65434748270764      32                       0.01521955386246785      2238                     2.0640180756008424       11162                    0.5399073                17.346233                0.00095779734            8.01404                  59130.33                 
20                       0.026774015294180976     44333                    -98.74750989504147       218                      -212.82551664055208      32                       0.012987861136124598     4296                     2.0219851881832223       21433                    1.0171701                15.976063                8.6188855e-05            7.852521                 92077.21                 
30                       0.04181781980726454      65576                    -82.74186756416705       213                      -191.8923471253576       32                       0.006840755825950986     6354                     1.935971447172619        31706                    0.5488166                11.63853                 1.3339003e-05            40.785385                685789.44                
40                       0.05781683988041348      86906                    -54.71963143032482       182                      -229.02484399649663      32                       0.004513895802381562     8424                     1.870862973866691        42037                    0.65567636               9.600316                 0.00013832767            9267.684                 299128600.0              
50                       0.0782017019059923       108845                   -28.89087508518807       128                      -160.02261924258158      32                       0.005572882353090772     10558                    1.7558271503542076       52692                    0.7783765                10.6481905               6.679247e-05             3197.891                 111243830.0              
60                       0.10929310169484881      132684                   -5.162213243331241       61                       -97.30871289077989       32                       0.006197421267481133     12884                    1.6922416081504217       64308                    0.27543655               11.056199                0.00031238838            19.310686                574340.5                 
70                       0.14708558711740705      157489                   17.928112634699332       39                       -62.93659927966377       32                       0.005403732318504184     15307                    1.6021877381859757       76407                    0.8290729                10.189032                0.000695042              71.04099                 1142123.2                
80                       0.1873842309580909       184419                   39.045866805919694       33                       -58.672715974968         32                       0.0046041049230259095    17937                    1.5417493641805307       89544                    -0.058859747             9.419981                 2.7815324e-05            317.90317                8409542.0                
90                       0.22632042467594146      211066                   69.78635749705781        30                       -34.12200432706317       32                       0.0031361608375054576    20540                    1.5390699992000854       102543                   0.249077                 7.7285953                5.540811e-06             2952.6226                76803240.0               
100                      0.2660464775562286       239480                   110.77069191604272       30                       -14.006609067931144      32                       0.0014128871134930503    23313                    1.5342460137585325       116405                   0.12292321               5.291102                 4.4584887e-08            4744.568                 106266696.0              
110                      0.3044479148917728       267419                   102.54424925141254       30                       39.76379857279031        32                       0.0011576333922655594    26041                    1.473912378741296        130035                   0.19604528               4.704611                 1.9882278e-09            2457768.5                99569850000.0            
120                      0.3439944052033954       297449                   121.71686586004274       30                       184.04710648334674       32                       0.0009362309052268799    28971                    1.475876573165529        144685                   -0.06370864              4.20089                  4.0843257e-10            75001780.0               3518524600000.0          
130                      0.37337146030531987      325710                   112.6286766784793        30                       220.31444033443677       32                       0.0005066189342798227    31730                    1.4870162182700513       158472                   0.1383862                3.252306                 9.1154625e-08            10776710.0               241270060000.0           
140                      0.402972555425432        355740                   146.46898872703179       30                       191.69719426454583       32                       0.0002704008956004328    34660                    1.4414879079564846       173122                   0.35774836               2.2520812                2.1548627e-11            1714535700000.0          6.1724483e+16            
150                      0.43327318112055463      385770                   148.019426160509         30                       236.95413908399598       32                       9.748513203228699e-05    37590                    1.6396929327538396       187772                   0.09683224               1.377751                 2.4914718e-05            1268147.4                62074710000.0            
160                      0.4603213484419717       415800                   150.168703266513         30                       253.36013535017588       32                       7.912242600738798e-05    40520                    1.5480715390358362       202422                   0.011392582              1.2534058                1.7402734e-05            72298.96                 3295352800.0             
170                      0.4849661475419998       445830                   150.7113573904403        30                       263.5639728335401        32                       0.00011513831011264397   43450                    1.3814531449978669       217072                   -0.08626996              1.5051363                4.1552193e-09            3779368400.0             181713120000000.0        
180                      0.5085296795765559       475860                   150.7242686071447        30                       263.40544648489754       32                       7.902303831365735e-05    46380                    1.4617689113161263       231722                   0.0066634067             1.2277274                2.2816078e-08            373929.84                15115921000.0            
190                      0.5315935748815537       505890                   159.18708125901261       30                       262.34928502407536       32                       5.597808102698863e-05    49310                    1.4830156449978669       246372                   0.066019386              1.03718                  8.0716944e-08            980.5475                 21437606.0               
200                      0.5546920818090438       535920                   163.3396425008322        30                       274.84122795070886       32                       5.061424467649069e-05    52240                    1.4960889171821672       261022                   0.03654013               0.9830767                1.1309103e-06            399.8093                 13244812.0               
210                      0.5779709258344439       565950                   163.21979589037838       30                       263.5704980532663        32                       4.3311683975999264e-05   55170                    1.4856710284236347       275672                   0.014301624              0.91811854               4.601214e-06             166.40875                2829247.2                
220                      0.6007498525910907       595980                   158.19892758155973       30                       270.3139006649754        32                       4.644645854779885e-05    58100                    1.439543781996587        290322                   -0.008458346             0.94124913               2.5508443e-11            341.57126                12673991.0               
230                      0.6226285808616214       626010                   170.9046364787884        30                       267.29909159679386       32                       4.670348132836534e-05    61030                    1.397162219363268        304972                   0.021519233              0.958128                 2.383875e-10             912.24524                39459508.0               
240                      0.6448677449756198       656040                   164.371108676458         30                       277.52247011175746       32                       4.646218296000575e-05    63960                    1.32840205378093         319622                   -0.03705227              0.9497836                3.3927094e-10            285.1249                 10690050.0               
250                      0.6673528889152739       686070                   159.2847381677881        30                       274.6346431357658        32                       3.99586334570276e-05     66890                    1.283745150517278        334272                   0.0063705607             0.87893766               5.3392988e-08            272.2971                 4169382.5                
260                      0.6896175090471903       716100                   162.23493246274634       30                       272.15943865138513       32                       3.993889132559096e-05    69820                    1.2494095629799489       348922                   0.010177444              0.88892555               1.6252882e-08            91.51809                 3324819.0                
270                      0.7110128634505801       746130                   164.30793630286104       30                       270.506834941583         32                       4.715215313048086e-05    72750                    1.2209868447365615       363572                   -0.03871329              0.9660297                6.2285213e-09            187.84267                4191273.2                
280                      0.7311912679672241       774255                   176.8221039046212        30                       280.82256004487755       32                       0.00024854397970782826   75495                    0.9197731270695364       377293                   0.06305404               2.2482789                0.0013618311             275628900000000.0        1.2538148e+19            
290                      0.7502232429054049       801004                   190.6692493032904        32                       267.09461063572934       32                       0.0006017747490886129    78107                    0.9324269577911689       390341                   -0.030696094             3.423406                 0.00028418287            26530324.0               1032808960000.0          
300                      0.7697518869903353       827696                   183.80692521839467       30                       275.9069237466531        32                       0.0006887831378715437    80713                    0.9410379559513652       403362                   0.41271883               3.7624679                3.1847176e-05            6919275.0                264021250000.0           
