Iteration                Wall_Time                Samples                  Train_Return             Train_Paths              Test_Return              Test_Paths               Critic_Loss              Critic_Steps             Actor_Loss               Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
0                        0.0002147091097301907    2079                     -187.89334071649884      23                       -460.67102415510516      32                       0.01666959245406573      201                      2.1436125614728585       1004                     -26.007532               21.555103                0.0048764837             2.4591224                1249.8864                
50                       0.049267797271410625     109149                   -84.10540923660315       1052                     -164.61922682177678      32                       0.005656024206031874     10581                    1.7888291547087585       52794                    0.786794                 10.605768                0.0003728653             165.47792                7012304.5                
100                      0.20264821469783784      229331                   28.570910240800668       299                      122.95908480674397       32                       0.0023897351220596667    22308                    1.352334398481186        111350                   0.7289071                6.662061                 8.085901e-08             297.52087                8043841.5                
150                      0.3856705817249086       366267                   135.95356428614045       151                      223.33122281480547       32                       0.0008553459476201963    35676                    1.1129191080729166       178155                   -0.1309736               4.055984                 2.9124723e-11            1264905.4                46374728000.0            
200                      0.5678750734859043       507141                   168.48866236417487       153                      258.2707929239528        32                       0.001333423645423134     49430                    0.9058628746267064       246881                   -0.24989785              4.981113                 3.562361e-12             40783.34                 356575520.0              
250                      0.7341782145367728       636927                   183.8965695509856        179                      250.4339796613705        32                       0.0026745185568616105    62107                    0.9153660090552733       310189                   0.24390095               7.198053                 6.4758066e-10            128.09929                3664073.8                
300                      0.8873104190164142       760814                   210.72671094409358       219                      255.50336604613722       32                       0.0034166993532638882    74207                    0.8315714589365713       370597                   0.40884963               7.9054184                1.3777215e-07            54.45356                 310162.53                
350                      1.0221699060996374       874615                   248.9260004140672        343                      272.9540049364618        32                       0.003510838357087608     85312                    0.7980331249451369       426024                   -0.18734692              8.10147                  9.093148e-08             8.489741                 26751.082                
400                      1.1406069849597082       984393                   264.46933392304254       452                      271.2011213244454        32                       0.003940247754168406     96013                    0.7330765228002369       479433                   0.3287128                8.423798                 1.7573086e-08            403.5771                 17499366.0               
450                      1.2589286848571566       1092600                  266.92918197183025       472                      266.3030094160342        32                       0.002075807715571204     106560                   0.7791039379837349       532060                   -0.05826191              6.3603396                7.31313e-12              196.84473                4398675.0                
500                      1.374822689824634        1201241                  273.4008178586062        493                      278.6624069329018        32                       0.002836535464633595     117144                   0.6824288567992942       584888                   0.17741877               7.197666                 6.670179e-06             113.26306                1968601.8                
550                      1.4885572575860553       1309518                  279.8333351533809        514                      275.52679999018596       32                       0.0008809406529454624    127692                   0.7405496432086615       637531                   -0.2352229               4.11484                  5.5038245e-06            328.97177                10382953.0               
600                      1.6050396531820297       1419978                  276.4635034456404        528                      274.72803995447504       32                       0.002709099224635533     138453                   0.6983247677851383       691236                   -0.083550416             7.1951838                1.3386439e-10            18.471739                457461.6                 
650                      1.7176245046324201       1526973                  280.61955835210443       542                      281.5433169989286        32                       0.0017088517254474117    148874                   0.6177699720461383       743241                   0.16008899               5.743556                 2.7540066e-13            133.92644                3047876.0                
700                      1.8327383185095256       1635462                  280.52367747823155       548                      280.26755759999094       32                       0.0016096532344818115    159440                   0.641988024473631        795967                   0.03424575               5.5920134                2.9265465e-13            9856.404                 488724220.0              
750                      1.9433990293741226       1742493                  282.19732623151003       553                      278.899231411861         32                       0.0017839424588062145    169866                   0.6160636483903493       847984                   0.06993181               5.782427                 6.407613e-11             9115.589                 378170050.0              
